real,predict
14.400162696838379,13.614805221557617
12.39999771118164,12.131593704223633
11.40000057220459,11.530628204345703
10.100000381469727,10.279550552368164
12.699997901916504,11.580141067504883
11.5,11.565507888793945
11.90000057220459,11.972855567932129
11.300000190734863,12.033411026000977
9.798970222473145,10.407414436340332
11.5,11.508272171020508
14.700325965881348,13.837368965148926
12.599996566772461,12.420424461364746
11.699999809265137,11.697590827941895
12.49999713897705,12.878992080688477
15.170580863952637,13.907840728759766
11.59999942779541,11.637336730957031
13.999974250793457,12.392698287963867
11.199999809265137,11.210275650024414
13.2000150680542,12.241744995117188
11.999998092651367,11.976304054260254
11.100000381469727,11.122029304504395
11.100000381469727,11.298431396484375
11.100000381469727,11.057478904724121
11.40000057220459,11.499871253967285
11.100000381469727,11.117192268371582
12.39999771118164,12.11406135559082
11.427902221679688,11.743306159973145
11.300000190734863,11.206047058105469
11.199999809265137,11.26147747039795
10.401029586791992,10.553622245788574
11.699999809265137,11.974479675292969
11.90000057220459,12.078409194946289
10.622879028320312,10.65605354309082
13.100000381469727,12.728590965270996
12.19999885559082,11.991155624389648
10.622879028320312,10.821656227111816
11.199999809265137,11.208856582641602
11.199999809265137,11.19260025024414
11.199999809265137,11.204522132873535
11.90000057220459,11.904808044433594
12.100000381469727,11.06839370727539
11.300000190734863,11.318245887756348
11.800000190734863,12.064813613891602
11.543697357177734,11.595190048217773
9.798970222473145,9.877979278564453
11.100000381469727,11.484199523925781
10.399999618530273,10.932401657104492
11.90000057220459,11.92074966430664
11.199999809265137,11.219675064086914
12.383996963500977,11.472530364990234
10.5,10.633975982666016
11.199999809265137,11.190729141235352
11.800000190734863,11.819156646728516
11.300000190734863,11.311963081359863
11.5,11.567971229553223
11.999998092651367,12.068374633789062
13.000008583068848,12.329351425170898
11.100000381469727,11.140663146972656
11.923909187316895,11.938440322875977
11.5,11.589089393615723
11.100000381469727,11.243924140930176
11.5,11.530834197998047
11.90000057220459,11.93600845336914
11.100000381469727,11.244056701660156
11.300000190734863,11.321249961853027
12.39999771118164,12.144821166992188
10.100000381469727,10.079802513122559
12.39999771118164,11.594757080078125
10.622879028320312,10.642845153808594
11.199999809265137,11.381132125854492
11.40000057220459,11.434724807739258
11.5,12.56229019165039
11.59999942779541,11.629755020141602
10.622879028320312,10.900872230529785
13.299970626831055,11.901973724365234
11.40000057220459,11.550488471984863
11.29382038116455,11.424866676330566
11.699999809265137,11.746274948120117
11.199999809265137,11.224964141845703
11.199999809265137,11.769901275634766
11.100000381469727,11.454487800598145
10.095678329467773,10.17044448852539
11.90000057220459,11.900260925292969
11.100000381469727,11.138416290283203
14.299970626831055,12.092902183532715
12.055459976196289,12.57425594329834
11.100000381469727,11.47099781036377
11.100000381469727,11.092604637145996
12.49999713897705,12.379603385925293
11.59999942779541,11.615276336669922
11.199999809265137,11.260175704956055
11.699999809265137,11.789079666137695
11.5,11.537728309631348
11.5,11.553064346313477
11.999998092651367,11.976436614990234
11.199999809265137,11.371780395507812
10.600000381469727,10.89683723449707
11.199999809265137,11.199596405029297
12.19999885559082,13.502634048461914
11.40000057220459,11.444046974182129
11.199999809265137,11.245110511779785
11.300000190734863,11.397558212280273
11.90000057220459,11.994701385498047
11.300000190734863,11.627376556396484
11.199999809265137,11.205511093139648
